"","Tubelabel_species","Health_Status","Date_Extracted","Raw_ng_ul","Extraction_physical_location","Date_Enriched","Microbe_Location","colony"
"98","122022_BEL_CBC_T3_115_PAST","Diseased_Tissue","8_9_2024","1.21","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","3_18"
"99","122022_BEL_CBC_T3_122_PAST","Healthy","9_11_2024","1.79","UML_NARWHAL_R2_B29","9_28_2024","UML_NARWHAL_R6_B30","3_24"
"100","122022_BEL_CBC_T3_129_PAST","Diseased_Margin","8_9_2024","0.976","UML_NARWHAL_R2_B29","11_8_2024","UML_NARWHAL_R6_B27","3_18"
"101","122022_BEL_CBC_T3_132_MCAV","Diseased_Tissue","7_19_2024","14.1","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","3_15"
"102","122022_BEL_CBC_T3_133_MCAV","Diseased_Margin","7_17_2024","3.5","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","3_15"
"103","122022_BEL_CBC_T3_145_MCAV","Diseased_Tissue","7_19_2024","5.74","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","3_67"
"104","122022_BEL_CBC_T3_158_PSTR","Healthy","7_12_2024","8.87","UML_NARWHAL_R2_B26","8_6_2024","UML_NARWHAL_R6_B27","3_74"
"105","122022_BEL_CBC_T4_10_OFAV","Diseased_Tissue","6_28_2023","6.4","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R6_B1","4_100"
"106","122022_BEL_CBC_T4_12_PSTR","Diseased_Margin","7_11_2024","3.49","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","4_96"
"107","122022_BEL_CBC_T4_13_PSTR","Diseased_Tissue","7_3_2024","6.21","UML_NARWHAL_R2_B26","8_2_2024","UML_NARWHAL_R6_B27","4_96"
"108","122022_BEL_CBC_T4_14_MCAV","Diseased_Margin","7_17_2024","5.99","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","4_95"
"109","122022_BEL_CBC_T4_15_MCAV","Diseased_Tissue","7_19_2024","2.03","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","4_95"
"110","122022_BEL_CBC_T4_35_PSTR","Diseased_Margin","7_11_2024","13","UML_NARWHAL_R2_B26","8_2_2024","UML_NARWHAL_R6_B27","4_97"
"111","122022_BEL_CBC_T4_36_PSTR","Diseased_Tissue","7_3_2024","34.8","UML_NARWHAL_R2_B26","8_2_2024","UML_NARWHAL_R6_B27","4_97"
"112","122022_BEL_CBC_T4_5_MCAV","Diseased_Margin","7_17_2024","14.5","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","4_94"
"113","122022_BEL_CBC_T4_6_MCAV","Diseased_Tissue","7_19_2024","37.3","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","4_94"
"114","122022_BEL_CBC_T4_9_OFAV","Diseased_Margin","6_28_2023","9","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R6_B1","4_100"
