,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S_double_band
,012024_BEL_CBC_T4_661_PSTR,Healthy,2_20_2025,1.41,UML_NARWHAL_R2_B16,,,4_98,3_6_2025,7_9_2025,y
,092023_BEL_CBC_T3_178_PAST,Healthy,11_12_2024,11.1,UML_NARWHAL_R2_B12,,,3_6,3_6_2025,7_9_2025,
,092023_BEL_CBC_T3_171_OFAV,Healthy,11_12_2024,43.8,UML_NARWHAL_R2_B12,,,3_39,3_6_2025,7_9_2025,
,122022_BEL_CBC_T3_127_OFAV,Healthy,6_22_2023,36.3,UML_NARWHAL_R2_B3,10_11_23,UML_NARWHAL_R6_B1,3_39,3_7_2025,7_9_2025,y
,062019_BEL_CBC_T3_1_MCAV,Healthy,6_13_2022,12.3,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B33, UML_NARWHAL_R2_B35",10_30_24,UML_NARWHAL_R6_B27,3_2,3_7_2025,7_9_2025,
,062019_BEL_CBC_T1_21_PAST,Healthy,8_19_2024,1.9,UML_NARWHAL_R2_B29,10_6_2024,UML_NARWHAL_R6_B30,1_21,3_7_2025,7_9_2025,
,052022_BEL_CBC_T3_66_OFAV,Healthy,6_21_2023,17.8,UML_NARWHAL_R2_B3,10_11_23,UML_NARWHAL_R6_B1,3_38,3_7_2025,7_9_2025,
,122022_BEL_CBC_T3_124_PAST,Healthy,9_11_2024,2.7,UML_NARWHAL_R2_B29,10_16_2024,UML_NARWHAL_R6_B27,3_34,3_7_2025,7_9_2025,y
,122022_BEL_CBC_T3_142_MCAV,Healthy,8_12_2024,0.355,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,3_14,3_7_2025,7_9_2025,
,122022_BEL_CBC_T3_141_PSTR,Healthy,7_12_2024,6.21,UML_NARWHAL_R2_B26,8_6_2024,UML_NARWHAL_R6_B27,3_20,3_7_2025,7_10_2025,
,092023_BEL_CBC_T4_94_MCAV,Healthy,11_12_2024,9.32,UML_NARWHAL_R2_B12,,,4_76,3_10_2025,7_10_2025,
,012024_BEL_CBC_T4_663_PSTR,Healthy,2_20_2025,8.44,UML_NARWHAL_R2_B16,,,4_79,3_10_2025,7_10_2025,
,022024_BEL_CBC_T1_775_OANN,Healthy,11_22_2024,13.8,UML_NARWHAL_R2_B13,,,1_25,3_10_2025,7_10_2025,
,022024_BEL_CBC_T2_804_OFAV,Healthy,11_22_2024,86.8,UML_NARWHAL_R2_B13,,,2_76,3_10_2025,7_10_2025,
,012024_BEL_CBC_T3_627_PAST,Healthy,2_20_2025,10.5,UML_NARWHAL_R2_B16,,,3_34,3_10_2025,7_10_2025,y
,062024_BEL_CBC_T1_1353_MCAV,Healthy,12_4_2024,39.6,UML_NARWHAL_R2_B15,,,1_24,3_10_2025,7_10_2025,
,092023_BEL_CBC_T3_173_OFAV,Healthy,11_12_2024,106,UML_NARWHAL_R2_B12,,,3_66,3_10_2025,7_10_2025,
,022024_BEL_CBC_T4_874_OFAV,Healthy,11_26_2024,35.9,UML_NARWHAL_R2_B13,,,4_78,3_10_2025,7_10_2025,
,042024_BEL_CBC_T4_1047_MCAV,Healthy,12_3_2024,72.4,UML_NARWHAL_R2_B14,,,4_28,3_10_2025,7_10_2025,
,122023_BEL_CBC_T2_522_MCAV,Healthy,11_18_2024,17.3,UML_NARWHAL_R2_B13,,,2_60,3_10_2025,7_10_2025,
,082024_BEL_CBC_T4_1607_PSTR,Healthy,1_15_2025,10.9,UML_NARWHAL_R2_B15,,,4_79,3_10_2025,7_10_2025,
,042024_BEL_CBC_T2_1026_OFAV,Healthy,12_2_2024,72.8,UML_NARWHAL_R2_B14,,,2_76,3_10_2025,7_10_2025,y
,012024_BEL_CBC_T2_605_SSID,Healthy,2_17_2025,59.8,UML_NARWHAL_R2_B16,,,2_99,3_10_2025,7_10_2025,y
,082024_BEL_CBC_T2_1510_PAST,Healthy,1_14_2025,31.6,UML_NARWHAL_R2_B15,,,2_68,3_10_2025,7_10_2025,
,052022_BEL_CBC_T3_13_MCAV,Healthy,6_15_2022,3,UML_NARWHAL_R2_B35,10_30_24,UML_NARWHAL_R6_B27,3_14,1_2_2025,7_11_2025,
,062024_BEL_CBC_T3_1433_PSTR,Healthy,12_5_2024,18.6,UML_NARWHAL_R2_B15,,,3_70,1_2_2025,7_11_2025,
,042024_BEL_CBC_T3_960_OFAV,Healthy,12_3_2024,31.8,UML_NARWHAL_R2_B14,,,3_66,1_2_2025,7_11_2025,
,022024_BEL_CBC_T2_814_MCAV,Healthy,11_22_2024,58.2,UML_NARWHAL_R2_B13,,,2_60,1_2_2025,7_11_2025,
,042024_BEL_CBC_T2_1144_MCAV,Healthy,12_2_2024,75.1,UML_NARWHAL_R2_B14,,,2_69,1_2_2025,7_11_2025,
,052022_BEL_CBC_T3_19_MCAV,Healthy,2022,17.4,UML_NARWHAL_R2_B32,10_30_24,UML_NARWHAL_R6_B27,3_21,1_2_2025,7_11_2025,
,042024_BEL_CBC_T2_1014_OFAV,Healthy,12_2_2024,59,UML_NARWHAL_R2_B14,,,2_79,3_10_2025,7_11_2025,
,022024_BEL_CBC_T2_812_PAST,Healthy,11_22_2024,26.6,UML_NARWHAL_R2_B13,,,2_57,8_8_2025,12_10_2025,y
,112023_BEL_CBC_T1_274_PAST,Healthy,11_13_2024,0.386,UML_NARWHAL_R2_B12,,,1_21,8_8_2025,12_10_2025,y
,092023_BEL_CBC_T3_174_OFAV,Healthy,11_12_2024,30.2,UML_NARWHAL_R2_B12,,,3_38,8_8_2025,12_10_2025,y
,062019_BEL_CBC_T2_17_SSID,Healthy,12_4_2024,3.79,UML_NARWHAL_R2_B15,,,2_73,8_8_2025,12_10_2025,
,022024_BEL_CBC_T4_870_MCAV,Healthy,11_26_2024,41.4,UML_NARWHAL_R2_B13,,,4_28,8_8_2025,12_10_2025,
,042024_BEL_CBC_T4_1044_PSTR,Healthy,12_3_2024,13.2,UML_NARWHAL_R2_B14,,,4_79,8_8_2025,12_10_2025,
,022024_BEL_CBC_T3_848_MCAV,Healthy,11_26_2024,59,UML_NARWHAL_R2_B13,,,3_14,8_8_2025,12_10_2025,
,122023_BEL_CBC_T4_540_MCAV,Healthy,11_19_2024,49.8,UML_NARWHAL_R2_B13,,,4_30,8_11_2025,12_10_2025,y
,122022_BEL_CBC_T4_11_MCAV,Healthy,8_12_2024,0.348,UML_NARWHAL_R2_B29,11_6_2024,UML_NARWHAL_R6_B27,4_30,8_11_2025,12_10_2025,
,112023_BEL_CBC_T3_357_OFAV,Healthy,11_15_2024,50.6,UML_NARWHAL_R2_B12,,,3_39,8_11_2025,12_10_2025,
,092023_BEL_CBC_T2_183_MCAV,Healthy,11_8_2024,11.8,UML_NARWHAL_R2_B12,,,2_55,8_11_2025,12_10_2025,
,022024_BEL_CBC_T2_805_SSID,Diseased_Tissue,9_10_2024,10.2,UML_NARWHAL_R2_B11,,,2_72,8_11_2025,12_10_2025,
,042024_BEL_CBC_T3_946_OFAV,Healthy,12_3_2024,56.7,UML_NARWHAL_R2_B14,,,3_39,8_11_2025,12_10_2025,y
,082024_BEL_CBC_T2_1508_SSID,Healthy,1_14_2025,39.6,UML_NARWHAL_R2_B15,,,2_73,8_11_2025,12_10_2025,y
