,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S double band
267,122022_BEL_CBC_T2_83_PAST,Healthy,9_11_2024,21.8,UML_NARWHAL_R2_B29,9_28_2024,UML_NARWHAL_R6_B30,2_57,NA,NA,
268,062019_BEL_CBC_T2_2_PAST,Healthy,9_11_2024,6.77,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",10_6_2024,UML_NARWHAL_R6_B30,2_68,NA,NA,
269,052022_BEL_CBC_T3_6_SSID,Healthy,12_4_2024,27.9,UML_NARWHAL_R2_B15,,,3_5,NA,NA,
270,122023_BEL_CBC_T3_527_OFAV,Healthy,11_19_2024,16.1,UML_NARWHAL_R2_B13,,,3_66,NA,NA,
271,112023_BEL_CBC_T2_311_MCAV,Healthy,11_13_2024,47,UML_NARWHAL_R2_B12,,,2_60,NA,NA,
272,022024_BEL_CBC_T1_774_MCAV,Healthy,11_22_2024,31.2,UML_NARWHAL_R2_B13,,,1_24,NA,NA,
273,122023_BEL_CBC_T2_514_SSID,Healthy,11_18_2024,25,UML_NARWHAL_R2_B13,,,2_72,NA,NA,
274,012024_BEL_CBC_T3_635_OFAV,Healthy,2_20_2025,90.4,UML_NARWHAL_R2_B16,,,3_38,NA,NA,
275,092023_BEL_CBC_T1_172_PAST,Healthy,11_8_2024,1.2,UML_NARWHAL_R2_B12,,,1_21,NA,NA,
276,042024_BEL_CBC_T3_950_PSTR,Healthy,12_3_2024,8.85,UML_NARWHAL_R2_B14,,,3_20,NA,NA,
277,112023_BEL_CBC_T3_348_SSID,Healthy,11_15_2024,15.2,UML_NARWHAL_R2_B12,,,3_5,NA,NA,
278,052022_BEL_CBC_T2_11_PAST,Healthy,6_17_2022,15,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARHWAL_PINK",11_6_2024,UML_NARWHAL_R6_B27,2_57,NA,NA,
279,092023_BEL_CBC_T1_178_OANN,Healthy,11_8_2024,21,UML_NARWHAL_R2_B12,,,1_25,NA,NA,
280,112023_BEL_CBC_T4_400_OFAV,Healthy,11_15_2024,47.8,UML_NARWHAL_R2_B12,,,4_78,NA,NA,
281,122022_BEL_CBC_T2_88_MCAV,Healthy,8_12_2024,0.884,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,2_55,NA,NA,
282,122023_BEL_CBC_T2_521_OFAV,Healthy,11_18_2024,37.6,UML_NARWHAL_R2_B13,,,2_79,NA,NA,
283,082024_BEL_CBC_T1_1483_MCAV,Healthy,1_14_2025,58.4,UML_NARWHAL_R2_B15,,,1_24,NA,NA,
284,052022_BEL_CBC_T1_62_MCAV,Healthy,8_12_2024,0.538,UML_NARWHAL_R2_B26,10_6_2024,UML_NARWHAL_R6_B30,1_24,NA,NA,
285,112023_BEL_CBC_T3_350_OFAV,Healthy,11_15_2024,73.6,UML_NARWHAL_R2_B12,,,3_38,NA,NA,
286,042024_BEL_CBC_T3_956_MCAV,Healthy,12_3_2024,12.8,UML_NARWHAL_R2_B14,,,3_2,NA,NA,
287,012024_BEL_CBC_T1_561_OANN,Healthy,2_17_2025,18,UML_NARWHAL_R2_B16,,,1_25,NA,NA,
288,012024_BEL_CBC_T3_644_PSTR,Healthy,2_20_2025,48.8,UML_NARWHAL_R2_B16,,,3_70,NA,NA,
289,042024_BEL_CBC_T2_1017_MCAV,Healthy,12_2_2024,4.47,UML_NARWHAL_R2_B14,,,2_60,NA,NA,
290,062019_BEL_CBC_T2_26_SSID,Healthy,1_13_2025,15.1,UML_NARWHAL_R2_B15,,,2_72,NA,NA,
291,112023_BEL_CBC_T2_308_PAST,Healthy,11_13_2024,12.1,UML_NARWHAL_R2_B12,,,2_63,NA,NA,
292,022024_BEL_CBC_T4_872_PSTR,Healthy,11_26_2024,23.4,UML_NARWHAL_R2_B13,,,4_79,NA,NA,
293,112023_BEL_CBC_T2_309_PAST,Healthy,11_13_2024,5.92,UML_NARWHAL_R2_B12,,,2_57,NA,NA,
294,082024_BEL_CBC_T2_1515_MCAV,Healthy,1_14_2025,RECHECK,UML_NARWHAL_R2_B15,,,2_60,NA,NA,
295,062019_BEL_CBC_T1_1_PAST,Healthy,2022,2.38,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35",10_30_24,all_sent_for_sequencing,1_2,NA,NA,
296,012024_BEL_CBC_T3_642_PSTR,Healthy,2_20_2025,2.04,UML_NARWHAL_R2_B16,,,3_20,NA,NA,
297,062024_BEL_CBC_T2_1372_OFAV,Healthy,12_4_2024,98.6,UML_NARWHAL_R2_B15,,,2_76,NA,NA,
298,082024_BEL_CBC_T2_1513_PAST,Healthy,1_14_2025,80.8,UML_NARWHAL_R2_B15,,,2_57,NA,NA,
299,112023_BEL_CBC_T3_351_OFAV,Healthy,11_15_2024,45.2,UML_NARWHAL_R2_B12,,,3_66,NA,NA,
300,082024_BEL_CBC_T2_1517_MCAV,Healthy,1_14_2025,40.8,UML_NARWHAL_R2_B15,,,2_69,NA,NA,
301,062024_BEL_CBC_T2_1393_PAST,Healthy,12_4_2024,42.9,UML_NARWHAL_R2_B15,,,2_57,NA,NA,
302,042024_BEL_CBC_T3_949_PSTR,Healthy,12_3_2024,9.51,UML_NARWHAL_R2_B14,,,3_70,NA,NA,
303,042024_BEL_CBC_T1_932_SSID,Diseased_Margin,11_4_2024,3.14,UML_NARWHAL_R2_B11,,,1_3,NA,NA,
304,062019_BEL_CBC_T3_4_PAST,Healthy,9_11_2024,33.7,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33",10_6_2024,UML_NARWHAL_R6_B30,3_6,NA,NA,
305,122023_BEL_CBC_T1_511_OFAV/OANN,Healthy,11_18_2024,7.38,UML_NARWHAL_R2_B13,,,1_25,NA,NA,
306,022024_BEL_CBC_T1_773_SSID,Healthy,11_22_2024,61.8,UML_NARWHAL_R2_B13,,,1_3,NA,NA,
307,012024_BEL_CBC_T3_640_MCAV,Healthy,2_20_2025,7.4,UML_NARWHAL_R2_B16,,,3_14,NA,NA,
308,092023_BEL_CBC_T3_172_PSTR,Healthy,11_12_2024,168,UML_NARWHAL_R2_B12,,,3_20,NA,NA,
309,122023_BEL_CBC_T2_519_PAST,Healthy,11_18_2024,14.4,UML_NARWHAL_R2_B13,,,2_63,NA,NA,
310,122023_BEL_CBC_T3_530_PSTR,Healthy,11_19_2024,1.18,UML_NARWHAL_R2_B13,,,3_20,NA,NA,
311,062019_BEL_CBC_T3_31_PAST,Healthy,2022,3.18,"UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B26, UML_NARWHAL_R2_B34",10_30_24,all_sent_for_sequencing,3_34,NA,NA,
312,012024_BEL_CBC_T2_585_OFAV,Healthy,2_17_2025,71.6,UML_NARWHAL_R2_B16,,,2_76,NA,NA,
313,082024_BEL_CBC_T4_1608_MCAV,Healthy,1_15_2025,61,UML_NARWHAL_R2_B15,,,4_76,NA,NA,
314,012024_BEL_CBC_T2_597_PAST,Healthy,2_17_2025,1.88,UML_NARWHAL_R2_B16,,,2_57,NA,NA,
315,062024_BEL_CBC_T2_1384_MCAV,Healthy,12_4_2024,24.1,UML_NARWHAL_R2_B15,,,2_55,NA,NA,
316,022024_BEL_CBC_T4_871_PSTR,Healthy,11_26_2024,91.4,UML_NARWHAL_R2_B13,,,4_98,NA,NA,
