"","Tubelabel_species","Date_Extracted","Raw_ng_ul","Date_Enriched","Microbe_Location","Month_year","colony","CollectionDate","Species","Health_status","Sample_physical_location","Extraction_physical_location","immune_y.n","Condition"
"60","092023_BEL_CBC_T1_190_OANN","9_11_2024","14.7","","","092023","1_22","9/27/23","OANN","Diseased_Tissue","UML_NARWHAL_R1_B10","UML_NARWHAL_R2_B11","n","Diseased"
"61","092023_BEL_CBC_T1_194_SSID","9_11_2024","15.7","","","092023","1_16","9/27/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B10","UML_NARWHAL_R2_B11","n","Diseased"
"62","092023_BEL_CBC_T1_196_SSID","9_11_2024","20.6","","","092023","1_17","9/27/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B10","UML_NARWHAL_R2_B11","n","Diseased, CLB"
"63","092023_BEL_CBC_T2_192_OFAV","9_11_2024","56","","","092023","2_80","9/26/23","OFAV","Diseased_Tissue","UML_NARWHAL_R1_B10","UML_NARWHAL_R2_B11","n","CLP,CLB"
"64","092023_BEL_CBC_T2_194_OANN","9_11_2024","28.4","","","092023","2_30","9/26/23","OANN","Diseased_Tissue","UML_NARWHAL_R1_B10","UML_NARWHAL_R2_B11","n","CLP,CLB"
"65","092023_BEL_CBC_T2_196_SSID","9_11_2024","11","","","092023","2_52","9/26/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B10","UML_NARWHAL_R2_B11","n","Diseased"
"66","092023_BEL_CBC_T3_196_SSID","9_11_2024","18.1","","","092023","3_3","9/25/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B11","UML_NARWHAL_R2_B11","n","Diseased"
"67","092023_BEL_CBC_T3_198_SSID","9_11_2024","12.9","","","092023","3_19","9/25/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B11","UML_NARWHAL_R2_B11","n","Diseased"
"68","092023_BEL_CBC_T3_220_SSID","9_11_2024","17.2","","","092023","3_28","9/25/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B11","UML_NARWHAL_R2_B11","n","Diseased"
"69","092023_BEL_CBC_T3_264_SSID","9_11_2024","30.8","","","092023","3_65","9/25/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B11","UML_NARWHAL_R2_B11","n","Diseased"
"70","092023_BEL_CBC_T3_90_SSID","9_11_2024","7.36","","","092023","3_28","9/25/23","SSID","Diseased_Tissue","UML_NARWHAL_R1_B11","UML_NARWHAL_R2_B11","n","Diseased"
"71","092023_BEL_CBC_T4_84_OANN","9_11_2024","6.54","","","092023","4_99","9/26/23","OANN","Diseased_Tissue","UML_NARWHAL_R1_B11","UML_NARWHAL_R2_B11","n","Diseased"
"72","092023_BEL_CBC_T4_88_OFAV","9_11_2024","14.8","","","092023","4_100","9/26/23","OFAV","Diseased_Tissue","UML_NARWHAL_R1_B11","UML_NARWHAL_R2_B11","n","Diseased"
"73","102019_BEL_CBC_T1_25_PSTR","5_25_2023","23.2","10_17_2023","UML_NARWHAL_R2_B1","102019","1_4","10/15/19","PSTR","Healthy","UML_NARWHAL_R1_B2","UML_NARWHAL_R2_B3","n","Healthy"
